Day;Date-IT;Confirmed-IT;Percent-IT;Deaths-IT;Rec-IT;Tested-IT;DeathsRate-IT;Date-CL;Confirmed-CL;Percent-CL;Deaths-CL;Rec-CL;Tested-CL;DeathsRate-CL
1;31-01-2020;2;;0;0;0;0,00;03-03-2020;1;;0;;;
2;01-02-2020;2;0;0;0;0;0,00;04-03-2020;3;200;0;;;
3;02-02-2020;2;0;0;0;0;0,00;05-03-2020;4;33;0;;;
4;03-02-2020;2;0;0;0;0;0,00;06-03-2020;5;25;0;;;
5;04-02-2020;2;0;0;0;0;0,00;07-03-2020;7;40;0;;;
6;05-02-2020;2;0;0;0;0;0,00;08-03-2020;10;43;0;;;
7;06-02-2020;3;50;0;0;0;0,00;09-03-2020;13;30;0;;;
8;07-02-2020;3;0;0;0;0;0,00;10-03-2020;17;31;0;;;
9;08-02-2020;3;0;0;0;0;0,00;11-03-2020;23;35;0;;;
10;09-02-2020;3;0;0;0;0;0,00;12-03-2020;33;43;0;;;
11;10-02-2020;3;0;0;0;0;0,00;13-03-2020;43;30;0;;;
12;11-02-2020;3;0;0;0;0;0,00;14-03-2020;61;42;0;;;
13;12-02-2020;3;0;0;0;0;0,00;15-03-2020;75;23;0;;;
14;13-02-2020;3;0;0;0;0;0,00;16-03-2020;155;107;0;;;
15;14-02-2020;3;0;0;0;0;0,00;17-03-2020;201;30;;;;
16;15-02-2020;3;0;0;0;0;0,00;18-03-2020;;;;;;
17;16-02-2020;3;0;0;0;0;0,00;19-03-2020;;;;;;
18;17-02-2020;3;0;0;0;0;0,00;20-03-2020;;;;;;
19;18-02-2020;3;0;0;0;0;0,00;21-03-2020;;;;;;
20;19-02-2020;3;0;0;0;0;0,00;22-03-2020;;;;;;
21;20-02-2020;3;0;0;0;0;0,00;23-03-2020;;;;;;
22;21-02-2020;20;567;1;0;0;5,00;24-03-2020;;;;;;
23;22-02-2020;79;295;2;0;0;2,53;25-03-2020;;;;;;
24;23-02-2020;150;90;3;0;0;2,00;26-03-2020;;;;;;
25;24-02-2020;227;51;7;1;0;3,08;27-03-2020;;;;;;
26;25-02-2020;320;41;10;1;0;3,13;28-03-2020;;;;;;
27;26-02-2020;445;39;12;3;9587;2,70;29-03-2020;;;;;;
28;27-02-2020;650;46;17;45;12014;2,62;30-03-2020;;;;;;
29;28-02-2020;888;37;21;46;15695;2,36;31-03-2020;;;;;;
30;29-02-2020;1128;27;29;50;18661;2,57;01-04-2020;;;;;;
31;01-03-2020;1694;50;34;83;21127;2,01;02-04-2020;;;;;;
32;02-03-2020;2036;20;52;149;23345;2,55;03-04-2020;;;;;;
33;03-03-2020;2502;23;79;160;25856;3,16;04-04-2020;;;;;;
34;04-03-2020;3089;23;107;276;29837;3,46;05-04-2020;;;;;;
35;05-03-2020;3858;25;148;414;32362;3,84;06-04-2020;;;;;;
36;06-03-2020;4636;20;197;523;36359;4,25;07-04-2020;;;;;;
37;07-03-2020;5883;27;233;589;42062;3,96;08-04-2020;;;;;;
38;08-03-2020;7375;25;366;622;49937;4,96;09-04-2020;;;;;;
39;09-03-2020;9172;24;463;724;53826;5,05;10-04-2020;;;;;;
40;10-03-2020;10149;11;631;1004;60761;6,22;11-04-2020;;;;;;
41;11-03-2020;12462;23;827;1045;73154;6,64;12-04-2020;;;;;;
42;12-03-2020;15113;21;1016;;;6,72;13-04-2020;;;;;;
43;13-03-2020;17660;17;1266;;;7,17;14-04-2020;;;;;;
44;14-03-2020;21157;20;1441;;;6,81;15-04-2020;;;;;;
45;15-03-2020;24747;17;1809;;;7,31;16-04-2020;;;;;;
46;16-03-2020;27980;13;2158;;;7,71;17-04-2020;;;;;;
47;17-03-2020;;;;;;;18-04-2020;;;;;;
48;18-03-2020;;;;;;;19-04-2020;;;;;;
49;19-03-2020;;;;;;;20-04-2020;;;;;;
50;20-03-2020;;;;;;;21-04-2020;;;;;;
51;21-03-2020;;;;;;;22-04-2020;;;;;;
52;22-03-2020;;;;;;;23-04-2020;;;;;;
53;23-03-2020;;;;;;;24-04-2020;;;;;;
54;24-03-2020;;;;;;;25-04-2020;;;;;;
55;25-03-2020;;;;;;;26-04-2020;;;;;;
