Day;Fecha;Japon;Espana;Alemania;Chile;Francia;Korea;Italia
1;1/22/20;2;0;0;0;0;1;0
2;1/23/20;1;0;0;0;0;1;0
3;1/24/20;2;0;0;0;2;2;0
4;1/25/20;2;0;0;0;3;2;0
5;1/26/20;4;0;0;0;3;3;0
6;1/27/20;4;0;1;0;3;4;0
7;1/28/20;7;0;4;0;4;4;0
8;1/29/20;7;0;4;0;5;4;0
9;1/30/20;11;0;4;0;5;4;0
10;1/31/20;15;0;5;0;5;11;2
11;2/1/20;20;1;8;0;6;12;2
12;2/2/20;20;1;10;0;6;15;2
13;2/3/20;20;1;12;0;6;15;2
14;2/4/20;22;1;12;0;6;16;2
15;2/5/20;22;1;12;0;6;19;2
16;2/6/20;45;1;12;0;6;23;2
17;2/7/20;25;1;13;0;6;24;3
18;2/8/20;25;1;13;0;11;24;3
19;2/9/20;26;2;14;0;11;25;3
20;2/10/20;26;2;14;0;11;27;3
21;2/11/20;26;2;16;0;11;28;3
22;2/12/20;28;2;16;0;11;28;3
23;2/13/20;28;2;16;0;11;28;3
24;2/14/20;29;2;16;0;11;28;3
25;2/15/20;43;2;16;0;12;28;3
26;2/16/20;59;2;16;0;12;29;3
27;2/17/20;66;2;16;0;12;30;3
28;2/18/20;74;2;16;0;12;31;3
29;2/19/20;84;2;16;0;12;31;3
30;2/20/20;94;2;16;0;12;104;3
31;2/21/20;105;2;16;0;12;204;20
32;2/22/20;122;2;16;0;12;433;62
33;2/23/20;147;2;16;0;12;602;155
34;2/24/20;159;2;16;0;12;833;229
35;2/25/20;170;6;17;0;14;977;322
36;2/26/20;189;13;27;0;18;1261;453
37;2/27/20;214;15;46;0;38;1766;655
38;2/28/20;228;32;48;0;57;2337;888
39;2/29/20;241;45;79;0;100;3150;1128
40;3/1/20;256;84;130;0;130;3736;1694
41;3/2/20;274;120;159;0;191;4335;2036
42;3/3/20;293;165;196;1;204;5186;2502
43;3/4/20;331;222;262;1;285;5621;3089
44;3/5/20;360;259;482;4;377;6088;3858
45;3/6/20;420;400;670;4;653;6593;4636
46;3/7/20;461;500;799;4;949;7041;5883
47;3/8/20;502;673;1040;8;1126;7314;7375
48;3/9/20;511;1073;1176;8;1209;7478;9172
49;3/10/20;581;1695;1457;13;1784;7513;10149
50;3/11/20;639;2277;1908;23;2281;7755;12462
51;3/12/20;639;2277;2078;23;2281;7869;12462
52;3/13/20;701;5232;3675;43;3661;7979;17660
53;3/14/20;773;6391;4585;61;4469;8086;21157
54;3/15/20;839;7798;5795;74;4499;8162;24747
55;3/16/20;825;9942;7272;155;6633;8236;27980
56;3/17/20;878;11748;9257;201;7652;8320;31506
57;3/18/20;889;13910;12327;238;9043;8413;35713
58;3/19/20;924;17963;15320;342;10871;8565;41035
59;3/20/20;963;20410;19848;434;12612;8652;47021
60;3/21/20;1007;25374;22213;537;14282;8799;53578
